0.000000 36
0.100000 16
0.200000 4
0.300000 3
0.400000 2
0.500000 1
0.600000 0
0.700000 0
0.800000 13
0.900000 19
1.000000 17
1.100000 5
1.200000 2
1.300000 4
1.400000 0
1.500000 4
1.600000 7
1.700000 10
1.800000 12
1.900000 11
2.000000 10
2.100000 4
2.200000 1
2.300000 2
2.400000 7
2.500000 5
2.600000 12
2.700000 10
2.800000 12
2.900000 3
3.000000 5
3.100000 4
3.200000 3
3.300000 5
3.400000 12
3.500000 7
3.600000 6
3.700000 7
3.800000 5
3.900000 10
4.000000 3
4.100000 3
4.200000 5
4.300000 11
4.400000 8
4.500000 4
4.600000 6
4.700000 10
4.800000 2
4.900000 6
5.000000 3
5.100000 3
5.200000 8
5.300000 13
5.400000 8
5.500000 3
5.600000 5
5.700000 4
5.800000 2
5.900000 5
6.000000 7
6.100000 11
6.200000 6
6.300000 6
6.400000 7
6.500000 2
6.600000 1
6.700000 4
6.800000 5
6.900000 5
7.000000 9
7.100000 16
7.200000 9
7.300000 3
7.400000 1
7.500000 0
7.600000 0
7.700000 0
7.800000 0
7.900000 0
8.000000 1
8.100000 7
8.200000 3
8.300000 0
8.400000 0
8.500000 0
8.600000 0
8.700000 0
8.800000 0
8.900000 0
9.000000 1
