0.000000 42
0.100000 10
0.200000 4
0.300000 1
0.400000 2
0.500000 3
0.600000 2
0.700000 5
0.800000 8
0.900000 18
1.000000 11
1.100000 9
1.200000 3
1.300000 2
1.400000 3
1.500000 3
1.600000 7
1.700000 11
1.800000 11
1.900000 7
2.000000 7
2.100000 8
2.200000 4
2.300000 5
2.400000 6
2.500000 7
2.600000 11
2.700000 2
2.800000 8
2.900000 6
3.000000 5
3.100000 7
3.200000 5
3.300000 9
3.400000 6
3.500000 7
3.600000 5
3.700000 10
3.800000 4
3.900000 7
4.000000 4
4.100000 6
4.200000 6
4.300000 9
4.400000 3
4.500000 6
4.600000 8
4.700000 5
4.800000 5
4.900000 9
5.000000 3
5.100000 9
5.200000 5
5.300000 8
5.400000 6
5.500000 5
5.600000 4
5.700000 4
5.800000 7
5.900000 7
6.000000 6
6.100000 9
6.200000 4
6.300000 9
6.400000 6
6.500000 2
6.600000 4
6.700000 4
6.800000 2
6.900000 8
7.000000 10
7.100000 9
7.200000 10
7.300000 4
7.400000 3
7.500000 0
7.600000 0
7.700000 0
7.800000 0
7.900000 0
8.000000 6
8.100000 3
8.200000 2
8.300000 0
8.400000 0
8.500000 0
8.600000 0
8.700000 0
8.800000 0
8.900000 0
9.000000 0
9.100000 0
9.200000 1
