.Vol: 256
10.459861  10.254926  3.300345 @ 1 C[0.000000,0.900000,0.073810] 
9.815358  3.780063  18.467150 @ 1 C[0.000000,0.900000,0.073810] 
9.151955  11.536335  15.722201 @ 1 C[0.000000,0.900000,0.073810] 
13.017733  16.212604  3.102982 @ 1 C[0.000000,0.900000,0.073810] 
6.658837  13.015552  18.146269 @ 1 C[0.000000,0.900000,0.073810] 
0.908012  7.138597  15.636480 @ 1 C[0.000000,0.900000,0.073810] 
2.736655  12.645636  16.593159 @ 1 C[0.000000,0.900000,0.073810] 
1.153187  8.055816  17.415013 @ 1 C[0.000000,0.900000,0.073810] 
3.086217  12.765092  3.277230 @ 1 C[0.000000,0.900000,0.073810] 
10.353370  10.147482  6.238151 @ 1 C[0.000000,0.900000,0.073810] 
11.051218  11.481280  2.122843 @ 1 C[0.000000,0.900000,0.073810] 
18.166956  18.524952  7.204164 @ 1 C[0.000000,0.900000,0.073810] 
15.316876  10.632310  13.652192 @ 1 C[0.000000,0.900000,0.073810] 
10.870012  14.734288  11.343197 @ 1 C[0.000000,0.900000,0.073810] 
11.506332  6.969753  2.083937 @ 1 C[0.000000,0.900000,0.073810] 
14.269890  12.861106  8.749995 @ 1 C[0.000000,0.900000,0.073810] 
4.913170  5.068093  16.395102 @ 1 C[0.000000,0.900000,0.073810] 
0.190313  3.690999  16.759419 @ 1 C[0.000000,0.900000,0.073810] 
1.001492  15.467807  10.632606 @ 1 C[0.000000,0.900000,0.073810] 
8.430552  7.842512  4.095333 @ 1 C[0.000000,0.900000,0.073810] 
9.718275  3.460969  17.166431 @ 1 C[0.000000,0.900000,0.073810] 
5.252695  6.654373  11.258341 @ 1 C[0.000000,0.900000,0.073810] 
5.755095  3.233882  10.843075 @ 1 C[0.000000,0.900000,0.073810] 
14.448884  18.551858  10.706466 @ 1 C[0.000000,0.900000,0.073810] 
1.108118  4.826490  1.057721 @ 1 C[0.000000,0.900000,0.073810] 
0.382384  1.331310  3.172264 @ 1 C[0.000000,0.900000,0.073810] 
9.525959  2.906523  3.215908 @ 1 C[0.000000,0.900000,0.073810] 
6.305963  1.566228  0.952600 @ 1 C[0.000000,0.900000,0.073810] 
3.773929  4.863983  11.764557 @ 1 C[0.000000,0.900000,0.073810] 
3.896978  3.018708  9.430926 @ 1 C[0.000000,0.900000,0.073810] 
1.330123  10.371455  9.040715 @ 1 C[0.000000,0.900000,0.073810] 
0.086496  14.669451  5.643398 @ 1 C[0.000000,0.900000,0.073810] 
14.308279  10.562455  17.795523 @ 1 C[0.000000,0.900000,0.073810] 
1.177692  10.605349  10.100442 @ 1 C[0.000000,0.900000,0.073810] 
2.984250  2.193325  0.025150 @ 1 C[0.000000,0.900000,0.073810] 
0.921981  5.716428  7.737049 @ 1 C[0.000000,0.900000,0.073810] 
2.729004  4.060661  1.889930 @ 1 C[0.000000,0.900000,0.073810] 
10.427487  5.691970  12.433777 @ 1 C[0.000000,0.900000,0.073810] 
8.192059  9.544294  16.642963 @ 1 C[0.000000,0.900000,0.073810] 
2.543451  5.208077  13.051869 @ 1 C[0.000000,0.900000,0.073810] 
10.154903  10.193633  7.429803 @ 1 C[0.000000,0.900000,0.073810] 
10.775463  16.391971  10.559613 @ 1 C[0.000000,0.900000,0.073810] 
8.329442  18.311312  0.710328 @ 1 C[0.000000,0.900000,0.073810] 
17.126818  18.485383  13.404585 @ 1 C[0.000000,0.900000,0.073810] 
18.138689  10.875823  3.814426 @ 1 C[0.000000,0.900000,0.073810] 
10.601191  9.591646  13.023509 @ 1 C[0.000000,0.900000,0.073810] 
17.292657  2.489790  9.733913 @ 1 C[0.000000,0.900000,0.073810] 
4.718615  16.843720  8.785374 @ 1 C[0.000000,0.900000,0.073810] 
15.968778  0.667287  1.120787 @ 1 C[0.000000,0.900000,0.073810] 
14.896492  0.066572  2.901130 @ 1 C[0.000000,0.900000,0.073810] 
14.799414  12.591680  7.088788 @ 1 C[0.000000,0.900000,0.073810] 
11.621731  13.024384  11.698491 @ 1 C[0.000000,0.900000,0.073810] 
17.376410  15.181168  16.835570 @ 1 C[0.000000,0.900000,0.073810] 
6.641346  0.378575  2.199677 @ 1 C[0.000000,0.900000,0.073810] 
18.265568  0.240178  5.963711 @ 1 C[0.000000,0.900000,0.073810] 
7.762857  4.021880  9.470806 @ 1 C[0.000000,0.900000,0.073810] 
7.507345  2.913476  3.290893 @ 1 C[0.000000,0.900000,0.073810] 
3.116307  2.597440  3.513225 @ 1 C[0.000000,0.900000,0.073810] 
12.108333  6.634580  4.509475 @ 1 C[0.000000,0.900000,0.073810] 
7.150440  15.259359  12.906994 @ 1 C[0.000000,0.900000,0.073810] 
