.Vol: 256
24.188046  15.083885  9.965082 1.0
24.471152  14.472510  38.051712 1.0
12.106159  29.131344  28.112423 1.0
31.670455  1.727427  21.761211 1.0
16.580991  26.800063  4.791522 1.0
35.042183  11.449208  24.096095 1.0
5.373266  19.676479  37.236882 1.0
3.445225  24.692914  1.891485 1.0
3.443627  24.691667  1.897616 1.0
23.627193  19.376779  18.099313 1.0
20.179545  23.020591  11.971084 1.0
3.082524  33.860998  16.990555 1.0
35.004019  17.195093  20.343472 1.0
24.403149  31.014245  19.301484 1.0
29.170990  4.332943  0.320602 1.0
32.476404  25.193462  20.015899 1.0
13.643154  14.267945  30.692322 1.0
1.673658  9.608733  34.811196 1.0
37.968217  24.015543  22.764025 1.0
14.658451  27.467599  11.350774 1.0
13.645838  14.269738  30.695055 1.0
12.477113  16.477231  20.745410 1.0
13.911977  5.435053  22.445764 1.0
31.667451  1.715170  21.778471 1.0
5.374563  19.676581  37.245183 1.0
1.934392  4.412777  4.153743 1.0
19.857745  2.456550  35.581241 1.0
10.896762  3.510826  2.263293 1.0
10.665824  10.041572  24.807610 1.0
1.527185  10.380032  12.988490 1.0
5.504337  21.428705  11.551510 1.0
33.806118  31.213985  13.053087 1.0
31.825177  27.382540  34.299465 1.0
5.143093  22.384699  21.720447 1.0
37.798361  2.173266  33.999840 1.0
6.827965  19.268990  17.207283 1.0
10.898741  3.510636  2.257529 1.0
23.935953  16.110105  29.958762 1.0
20.296834  21.390015  37.860149 1.0
37.310106  7.558340  23.947934 1.0
17.630966  26.045031  19.768575 1.0
21.739913  36.404357  23.474375 1.0
21.462901  34.272899  37.681473 1.0
30.913734  37.157869  29.998664 1.0
33.504723  22.359174  9.886130 1.0
18.544031  24.940639  26.134773 1.0
35.038899  11.453633  24.083147 1.0
11.626089  34.191637  16.643835 1.0
4.977622  37.830145  9.465003 1.0
24.423320  38.045445  35.630243 1.0
28.936168  27.845324  16.255039 1.0
24.404737  31.015227  19.303112 1.0
37.796726  2.174069  34.002378 1.0
13.788666  3.000418  10.100027 1.0
31.362816  1.733195  10.957947 1.0
21.298954  2.868441  16.024423 1.0
21.454591  34.259508  37.648681 1.0
10.895756  3.510107  2.266982 1.0
26.465502  11.143448  10.499748 1.0
19.083726  34.181974  26.778320 1.0
31.669225  1.727277  21.762234 1.0
11.070537  15.363497  9.169032 1.0
24.422435  38.045595  35.637964 1.0
36.675022  32.406399  0.049051 1.0
21.175413  10.906772  29.973611 1.0
25.352816  20.252224  0.516672 1.0
13.914436  5.434806  22.439170 1.0
16.498176  31.426195  14.780901 1.0
11.608638  20.074683  30.706702 1.0
32.536949  10.269791  2.187668 1.0
34.825038  27.723576  5.130084 1.0
7.347560  4.129583  32.655362 1.0
29.059523  29.649752  7.732786 1.0
